id,Location ID,Name,Type,Light,Notes,Plants,Watering Logs
3,LOC-01,Tomato Group,Container,Full Sun,All tomato containers grouped together,"PL-016,PL-017,PL-018,PL-019,PL-020,PL-021,PL-022",W-2026-001
4,LOC-02,Pepper Group,Container,Full Sun,All pepper containers grouped together; pepper-breeding area,"PL-001,PL-002,PL-003,PL-004,PL-005,PL-006,PL-007,PL-008,PL-009,PL-010,PL-011,PL-012,PL-013,PL-014,PL-015",W-2026-002
5,LOC-03,Fig,Container,Full Sun,,PL-032,W-2026-003
6,LOC-04,Fruit Bushes,Container,Full Sun,The 2 fruit bushes,"PL-030,PL-031",W-2026-004
7,LOC-05,Herbs,Container,Full Sun,,"PL-023,PL-024,PL-025,PL-026,PL-027",
8,LOC-06,Lavender,Container,Full Sun,,,
9,LOC-07,Squash,Container,Full Sun,,PL-028,W-2026-005
10,LOC-08,Eggplant,Container,Full Sun,Baby eggplant,PL-029,
11,LOC-09,Tomatillos,Container,Full Sun,,"PL-033,PL-034",W-2026-006
12,LOC-10,Raised Bed,Raised Bed,Full Sun,In-ground raised bed (expanding here next year),,
